1.4 , 0.96
1.8 , 1.02
2.5 , 1.08
4.7 , 1.36
4.2 , 0.98
5.1 , 0.87
6.2 , 1.07
7.1 , 1.03
8.0 , 1.01
9.0 , 1.01
9.9 , 1.01
12.2 , 1.61
11.8 , 1.12
12.5 , 1.09
13.3 , 1.07
14.4 , 0.92
15.3 , 1.03
16.2 , 0.98
17.2 , 0.86
18.1 , 0.78
19.1 , 0.88
19.8 , 0.96
20.6 , 1.05
21.7 , 0.94
22.6 , 0.84
24.7 , 1.33
24.4 , 1.06
25.5 , 0.97
27.7 , 1.64
27.7 , 1.01
28.7 , 1.01
29.6 , 1.01
30.6 , 1.05
31.3 , 1.02
33.2 , 1.55
33.4 , 1.13
34.3 , 1.08
35.4 , 1.06
36.2 , 0.99
38.6 , 0.46
38.3 , 1.0
40.8 , 1.52
40.9 , 0.89
41.4 , 0.93
43.2 , 1.69
43.7 , 1.0
44.9 , 1.02
46.6 , 0.59
46.5 , 0.92
47.1 , 1.12
47.4 , 1.11
47.4 , 1.07
47.4 , 1.02
47.4 , 0.99
47.2 , 0.91
46.6 , 0.9
45.7 , 1.03
43.8 , 1.11
44.1 , 0.89
43.2 , 0.99
41.5 , 0.42
41.0 , 0.87
40.4 , 0.96
39.4 , 0.97
37.0 , 0.66
37.1 , 0.9
35.7 , 1.03
34.6 , 1.14
33.8 , 1.17
32.9 , 1.04
31.8 , 0.96
30.8 , 0.94
29.1 , 1.63
28.8 , 1.0
27.7 , 0.79
26.0 , 1.59
25.7 , 1.14
24.9 , 1.07
23.4 , 0.96
22.5 , 1.13
21.7 , 1.07
20.8 , 0.95
19.8 , 0.87
18.8 , 0.89
17.8 , 1.03
16.0 , 1.54
15.6 , 1.02
14.7 , 0.99
13.8 , 1.05
11.8 , 0.59
11.9 , 1.05
10.9 , 0.98
10.0 , 1.02
9.2 , 1.0
8.3 , 1.03
7.1 , 0.87
5.6 , 1.13
5.6 , 0.88
4.7 , 0.85
3.9 , 0.96
2.4 , 0.97
1.9 , 1.04
1.1 , 1.27
